cap-diameter,cap-shape,cap-color,does-bruise-or-bleed,gill-color,stem-height,stem-width,stem-color,has-ring,habitat,season
6.58,x,w,FALSE,w,3.22,8.07,w,FALSE,d,a
4.77,x,y,FALSE,y,4.23,10.73,w,FALSE,d,u
6.17,x,y,TRUE,y,7.96,13.72,w,FALSE,d,u
13.12,x,n,TRUE,y,9.67,24.21,n,FALSE,d,u
15.24,f,n,TRUE,n,4.73,26.3,n,FALSE,g,u
4.43,c,n,FALSE,w,11.85,11.8,w,FALSE,d,u
9.36,x,n,FALSE,w,6.85,9.15,w,FALSE,d,a
2.52,f,y,FALSE,y,8.15,3.34,y,FALSE,g,u
5.51,c,n,FALSE,w,12.62,12.38,n,FALSE,d,u
0.77,x,n,TRUE,w,5.06,0.88,n,FALSE,h,u
8.95,f,o,FALSE,n,9.66,14.37,o,FALSE,d,a
7.58,f,n,FALSE,w,6.07,14.82,w,FALSE,d,u
13.29,p,w,TRUE,g,12.26,18.06,w,TRUE,m,u
2.7,x,b,FALSE,u,6.55,4.87,w,FALSE,d,w
16.19,p,n,FALSE,n,15.89,32.46,w,FALSE,d,u
3.41,s,u,FALSE,g,6.23,5.96,u,FALSE,l,u
2.59,x,u,FALSE,w,5.98,4.74,w,FALSE,d,w
4.15,x,g,FALSE,g,4.17,6.73,w,FALSE,d,u
7.75,x,n,FALSE,p,3.93,11.97,w,TRUE,w,u
6.02,x,n,FALSE,p,4.66,9.58,n,FALSE,d,u
9.33,f,l,FALSE,b,7.36,18.94,b,FALSE,d,w
6.32,x,n,FALSE,n,7.1,5.9,g,TRUE,d,w
13.9,f,g,FALSE,w,8.66,25.12,w,FALSE,l,a
3.64,b,n,FALSE,k,10.48,2.71,n,FALSE,g,a
7.83,x,n,TRUE,g,10.94,26.04,w,FALSE,d,u
4.48,f,n,FALSE,n,3.67,12.37,w,TRUE,w,a
6.43,x,w,FALSE,w,6.08,12.15,w,TRUE,d,a
5.53,b,k,FALSE,w,4.3,9.04,g,FALSE,d,u
5.69,x,n,FALSE,n,7.66,9.15,n,TRUE,g,u
10.56,x,n,TRUE,y,7.48,19.07,n,TRUE,d,u
3.99,x,n,FALSE,n,4.43,5.25,n,TRUE,d,s
4.38,s,n,FALSE,w,4.76,8,w,FALSE,h,a
2.11,s,o,TRUE,y,3.25,6.14,n,FALSE,d,u
2.3,s,n,FALSE,p,4.11,3.01,n,FALSE,l,a
4.61,f,n,FALSE,w,6.61,4.93,n,FALSE,d,s
7.39,x,g,TRUE,g,11.98,26.04,w,FALSE,d,a
11.22,s,w,TRUE,y,4.9,22.77,w,FALSE,d,a
10.42,x,n,TRUE,e,8.14,27.85,e,FALSE,d,a
1.48,x,n,FALSE,w,5.62,1.99,y,FALSE,d,a
6.4,x,y,FALSE,w,6.06,11.81,w,TRUE,d,u
4.46,f,y,FALSE,y,5.94,4.87,n,FALSE,l,a
4.47,f,n,FALSE,g,4.52,3.39,n,FALSE,d,a
11.07,x,y,FALSE,w,6.51,26.43,n,TRUE,d,w
3.78,f,p,TRUE,p,5.63,6.74,n,FALSE,d,a
2.45,x,b,FALSE,w,7.1,4.85,w,FALSE,d,w
3.44,f,n,FALSE,o,5.88,7.27,w,FALSE,d,w
8.08,f,o,FALSE,y,9.4,12.86,n,FALSE,d,a
20.57,x,n,FALSE,w,16.41,36.13,w,FALSE,d,a
2.34,x,e,FALSE,w,5.22,2.23,n,FALSE,d,a
2.18,x,b,FALSE,w,5.73,4.72,w,FALSE,d,a
7.18,s,w,FALSE,w,3.51,8.72,w,FALSE,d,u
13.06,p,n,TRUE,g,11.33,17.63,w,TRUE,m,u
9.22,x,n,FALSE,p,6.54,9.75,n,FALSE,d,w
8.07,f,w,FALSE,w,7.59,29.13,w,FALSE,m,s
3.24,s,y,FALSE,f,6.37,6.32,y,FALSE,d,a
7.14,x,n,FALSE,w,5.91,9.95,n,FALSE,d,u
5.23,x,n,FALSE,p,4.58,10.27,n,FALSE,d,a
9.46,x,n,FALSE,y,7.95,13.02,n,FALSE,g,a
